Dates,Noms,Déplacements,Documents,Numéro_du_document,Frontières,Destinations
2012-01-01,Amélie-Aimée Michel,Sortie,Carte nationale dIdentité,56302175,Nigéria,Nigéria
2012-01-01,Richard-Joseph Marchal,Entrée,Passeport,10751482,Aéroport de Cotonou,Bénin
2012-01-01,Amélie-Aimée Michel,Entrée,Carte nationale dIdentité,56302175,Niger,Bénin
2012-01-01,Vincent Barbe,Entrée,Carte nationale dIdentité,13876104,Togo,Bénin
2012-01-01,Alix-Claire Voisin,Sortie,Passeport,51410582,Togo,Togo
2012-01-01,Audrey Lemaire-Hamon,Sortie,Carte nationale dIdentité,67535838,Burikina-Faso,Burikina-Faso
2012-01-01,Manon Martins du Monnier,Sortie,Carte nationale dIdentité,72887764,Aéroport de Cotonou,Guyane
2012-01-01,Nicole Breton,Entrée,Carte nationale dIdentité,4073648,Aéroport de Cotonou,Bénin
2012-01-02,Chantal Fischer,Sortie,Passeport,99580657,Nigéria,Nigéria
2012-01-02,Vincent du Chartier,Entrée,Passeport,79366260,Togo,Bénin
2012-01-02,Hélène Fischer du Marin,Entrée,Carte nationale dIdentité,60482477,Aéroport de Cotonou,Bénin
2012-01-03,Denise Peltier,Entrée,Passeport,88075994,Niger,Bénin
2012-01-03,Margot de Dias,Sortie,Carte nationale dIdentité,49562159,Nigéria,Nigéria
2012-01-04,Christophe Le Legros,Sortie,Carte nationale dIdentité,96147305,Nigéria,Nigéria
2012-01-04,Luc Peron,Sortie,Carte nationale dIdentité,59999267,Burikina-Faso,Burikina-Faso
2012-01-05,Andrée Munoz,Entrée,Carte nationale dIdentité,60396819,Togo,Bénin
2012-01-05,Hortense Dijoux,Sortie,Passeport,43480653,Aéroport de Cotonou,Pays-Bas
2012-01-05,Luce Gillet,Entrée,Carte nationale dIdentité,17898208,Niger,Bénin
2012-01-06,Thierry Mercier,Entrée,Carte nationale dIdentité,71066272,Burikina-Faso,Bénin
2012-01-07,Denise Peltier,Sortie,Passeport,88075994,Aéroport de Cotonou,Sri Lanka
2012-01-07,Olivier Robert,Entrée,Passeport,86193810,Nigéria,Bénin
2012-01-07,Camille Guichard-Delannoy,Sortie,Passeport,31848288,Togo,Togo
2012-01-07,Brigitte Coste,Sortie,Carte nationale dIdentité,95656939,Niger,Niger
2012-01-07,Margaud du Boyer,Entrée,Carte nationale dIdentité,63350472,Nigéria,Bénin
2012-01-07,Marc De Oliveira,Entrée,Carte nationale dIdentité,53790859,Aéroport de Cotonou,Bénin
2012-01-07,Caroline Benard,Entrée,Carte nationale dIdentité,47075436,Niger,Bénin
2012-01-07,Andrée Guillaume,Entrée,Passeport,88971789,Togo,Bénin
2012-01-07,Aimé Renault de Garcia,Entrée,Passeport,42285325,Aéroport de Cotonou,Bénin
2012-01-07,Claire Millet-Chevalier,Entrée,Carte nationale dIdentité,92847998,Togo,Bénin
2012-01-08,Frédérique Roux-Blanchard,Entrée,Carte nationale dIdentité,99908498,Aéroport de Cotonou,Bénin
2012-01-08,Alexandre Seguin,Entrée,Carte nationale dIdentité,11105856,Togo,Bénin
2012-01-08,Nicole Breton,Entrée,Carte nationale dIdentité,4073648,Burikina-Faso,Bénin
2012-01-08,Frédéric Lambert,Entrée,Carte nationale dIdentité,90008507,Nigéria,Bénin
2012-01-08,Constance Delaunay,Entrée,Passeport,92344653,Aéroport de Cotonou,Bénin
2012-01-08,Dorothée Michaud,Sortie,Carte nationale dIdentité,13585643,Niger,Niger
2012-01-09,Antoinette Navarro,Entrée,Carte nationale dIdentité,31667670,Nigéria,Bénin
2012-01-09,Dominique Fontaine,Entrée,Passeport,25070242,Nigéria,Bénin
2012-01-09,Alix-Claire Voisin,Entrée,Carte nationale dIdentité,44695759,Nigéria,Bénin
2012-01-10,Andrée Munoz,Sortie,Carte nationale dIdentité,60396819,Niger,Niger
2012-01-10,Constance Delaunay,Entrée,Passeport,92344653,Nigéria,Bénin
2012-01-11,Paulette du Vasseur,Entrée,Carte nationale dIdentité,42195920,Aéroport de Cotonou,Bénin
2012-01-11,Gilles Vincent,Entrée,Passeport,4346861,Togo,Bénin
2012-01-11,Pénélope Olivier,Entrée,Passeport,63133313,Aéroport de Cotonou,Bénin
2012-01-11,Yves Briand du Albert,Sortie,Passeport,17958495,Niger,Niger
2012-01-12,Marc De Oliveira,Sortie,Passeport,735157,Nigéria,Nigéria
2012-01-12,Frédérique Roux-Blanchard,Sortie,Carte nationale dIdentité,99908498,Burikina-Faso,Burikina-Faso
2012-01-13,Dominique Fontaine,Entrée,Passeport,25070242,Niger,Bénin
2012-01-13,Roger du Clément,Entrée,Carte nationale dIdentité,54557900,Togo,Bénin
2012-01-13,Constance Delaunay,Sortie,Passeport,92344653,Nigéria,Nigéria
2012-01-13,Amélie-Juliette Lemonnier,Entrée,Carte nationale dIdentité,4240286,Aéroport de Cotonou,Bénin
2012-01-13,Andrée Guillaume,Sortie,Carte nationale dIdentité,1093573,Niger,Niger
2012-01-13,David Vincent,Sortie,Passeport,23770405,Togo,Togo
2012-01-14,Alfred Chauvin de la Pichon,Sortie,Passeport,69225022,Aéroport de Cotonou,Nauru
2012-01-14,Mathilde Da Costa,Entrée,Passeport,43234013,Niger,Bénin
2012-01-14,Alice Michaud de Da Costa,Entrée,Passeport,11024764,Aéroport de Cotonou,Bénin
2012-01-14,Caroline Benard,Entrée,Passeport,3419501,Aéroport de Cotonou,Bénin
2012-01-14,Timothée Rodriguez-Grondin,Sortie,Passeport,37554325,Togo,Togo
2012-01-14,Jeanne Lecomte,Entrée,Carte nationale dIdentité,58868621,Nigéria,Bénin
2012-01-14,Grégoire Guichard,Entrée,Carte nationale dIdentité,86650576,Burikina-Faso,Bénin
2012-01-14,Claude de la Neveu,Entrée,Carte nationale dIdentité,70868530,Togo,Bénin
2012-01-14,Vincent Barbe,Entrée,Passeport,19843879,Togo,Bénin
2012-01-14,Hugues Ribeiro,Sortie,Carte nationale dIdentité,29352858,Niger,Niger
2012-01-14,Georges Guillou-Blondel,Sortie,Passeport,98306589,Nigéria,Nigéria
