Nom,Date_de_naissance,Sexe,Adresse,E-mail,Numéro_de_téléphone,Job
Denise Masson Le Payet,1974-02-21,Masculin,"ZOU,COVE,LAINTA-COGBE,DEKPADA carré 1790",denisemassonlepayet@gmail.com,+22969996858,accompagnant éducatif et social éducative et sociale
Jacques Marchand,1959-03-02,Masculin,"ZOU,ABOMEY,SEHOUN,SEHOUN carré 3218",jacquesmarchand@gmail.com,+22995346358,chef de fabrication des industries graphiques
Édouard Poulain,1937-03-15,Masculin,"DONGA,DJOUGOU,BARIENOU,AFATALANGA carré 8288",édouardpoulain@gmail.com,+22995140589,monteur-câbleur
Margaud de la Laporte,1950-06-03,Féminin,"ATLANTIQUE,ABOMEY-CALAVI,GODOMEY,ABIKOUHOLI carré 8574",margauddelalaporte@gmail.com,+22953023678,ingénieur biomédical biomédicale
Marthe Perrin,1942-02-14,Masculin,"PLATEAU,SAKETE,ITA-DJEBOU,ATTAN-ONIBEDJI carré 9904",martheperrin@gmail.com,+22995374718,ouvrier paysagiste
Vincent Rossi,1953-12-18,Féminin,"COUFFO,TOVIKLIN,TOVIKLIN,KPEVE carré 8012",vincentrossi@gmail.com,+22969770439,maréchal-ferrant
Grégoire Colas,1964-01-15,Masculin,"ATLANTIQUE,OUIDAH,HOUAKPE-DAHO,SEYIGBE carré 3636",grégoirecolas@gmail.com,+22994335177,conseiller en assurances
Thérèse Hubert,1942-02-21,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,GODOMEY,GBEGNIGAN-MIDOKPO carré 1074",thérèsehubert@gmail.com,+22962580773,attaché de recherche clinique (ARC)
Anouk Jean,1967-10-06,Masculin,"BORGOU,TCHAOUROU,TCHATCHOU,WORIA carré 0559",anoukjean@gmail.com,+22962154339,géologue
Thibault Leconte,1934-04-17,Féminin,"DONGA,DJOUGOU,BAREI,DANGOUSSAR carré 7253",thibaultleconte@gmail.com,+22959886476,technicien démonstrateur démonstratrice en matériel agricole
Maurice-Pierre Renard,1990-11-07,Masculin,"COLLINES,BANTE,PIRA,IDI-OGOU carré 2564",maurice-pierrerenard@gmail.com,+22990111956,ingénieur qualité moteur
Honoré Gros,1991-12-27,Masculin,"ATLANTIQUE,OUIDAH,OUIDAH I,ABATTA carré 2644",honorégros@gmail.com,+22995896235,agent de développement touristique
Michelle-Dorothée Lévêque,1973-01-25,Féminin,"COUFFO,TOVIKLIN,TOVIKLIN,TOVIKLIN CENTRE carré 2670",michelle-dorothéelévêque@gmail.com,+22997470328,ouvrier plasturgiste
Léon Pascal,2021-09-01,Masculin,"LITTORAL,COTONOU,13EME ARRONDISSEMENT,AGLA-PETIT CHATEAU carré 0260",,,
Élodie Perez,1937-09-19,Masculin,"ALIBORI,BANIKOARA,GOMPAROU,KPESSANROU carré 5027",élodieperez@gmail.com,+22998764612,histologiste
Margot-Aurélie Lesage,1989-12-19,Féminin,"ZOU,ZA-KPOTA,ZEKO,ZEKO carré 7563",margot-aurélielesage@gmail.com,+22991183046,biologiste médical
Alfred Paris,2003-06-05,Masculin,"ZOU,ZA-KPOTA,ZA-TANTA,HOUANLIKPA carré 5807",alfredparis@gmail.com,+22995430571,soigneur d'animaux
Yves Pages,2012-04-01,Masculin,"ATACORA,MATERI,DASSARI,SETCHINDIKA carré 5768",,,
Stéphane Bertrand,1946-10-08,Masculin,"COLLINES,OUESSE,LAMINOU,ATTANNONDOHO carré 4385",stéphanebertrand@gmail.com,+22954843253,sapeur-pompier
Augustin-Jérôme Merle,1966-12-04,Féminin,"COLLINES,SAVALOU,SAVALOU-AGBADO,AHOSSEDO carré 6701",augustin-jérômemerle@gmail.com,+22965144897,anesthésiste-réanimateur
Richard Andre du Blondel,1964-04-18,Masculin,"ALIBORI,BANIKOARA,GOMPAROU,GOMPAROU GAHBAGA carré 9417",richardandredublondel@gmail.com,+22991627936,responsable de formation
Étienne Legrand,2000-11-14,Masculin,"DONGA,DJOUGOU,BAREI,DANGOUSSAR carré 7006",étiennelegrand@gmail.com,+22962874425,BIM manager
Marthe Gilles,1976-06-28,Masculin,"OUEME,AKPRO-MISSERETE,VAKON,GOUAKO-KOTOCLOME carré 0601",marthegilles@gmail.com,+22999352375,responsable de la promotion des ventes
Virginie Bouvet,2014-10-10,Masculin,"PLATEAU,POBE,POBE,ADJEGOUNLE carré 4446",,,
Agathe-Lorraine Barbe,1984-03-03,Féminin,"OUEME,DANGBO,GBEKO,GBEKO SIOLI carré 0192",agathe-lorrainebarbe@gmail.com,+22968762413,développeur d'applications mobiles
Manon Chevalier,1979-11-21,Masculin,"ATACORA,OUASSA-PEHUNCO,GNEMASSON,SAYAKROU carré 6655",manonchevalier@gmail.com,+22999356744,secrétaire médical
Gabriel Charpentier,1963-12-24,Masculin,"COUFFO,DJAKOTOMEY,GOHOMEY,HAGOUMEY CENTRE carré 0850",gabrielcharpentier@gmail.com,+22954318718,chocolatier-confiseur
Auguste-Éric Delorme,1993-05-05,Féminin,"ATLANTIQUE,ABOMEY-CALAVI,GODOMEY,WOMEY CENTRE carré 2885",auguste-éricdelorme@gmail.com,+22964798187,BIM manager
Frédéric Boulay,2011-07-09,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,ABOMEY-CALAVI,AGORI carré 1524",,,
Madeleine Le Lecomte,1932-09-14,Féminin,"ATLANTIQUE,ABOMEY-CALAVI,AKASSATO,AGONSOUNDJA carré 0893",madeleinelelecomte@gmail.com,+22956384914,sapeur-pompier
Christophe Voisin,1953-05-18,Masculin,"DONGA,BASSILA,BASSILA,KIKELE carré 8431",christophevoisin@gmail.com,+22959351274,réceptionniste
Emmanuelle Le Allain,1996-11-19,Masculin,"ATLANTIQUE,OUIDAH,AVLEKETE,ADOUNKO AYIGNON carré 4256",emmanuelleleallain@gmail.com,+22965784658,chef de rayon
Noël Lebreton,1942-08-27,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,GODOMEY,SALAMEY carré 6259",noëllebreton@gmail.com,+22962614579,mixeur son
Daniel Le Bodin,1973-04-30,Masculin,"LITTORAL,COTONOU,12EME ARRONDISSEMENT,AKOGBATO carré 6445",daniellebodin@gmail.com,+22999729014,iconographe
Jean Lefebvre,1953-08-21,Féminin,"ATACORA,KOUANDE,KOUANDE,BECKET-BOURAME carré 7720",jeanlefebvre@gmail.com,+22998034321,ingénieur d'application
Auguste Evrard,2016-12-06,Masculin,"LITTORAL,COTONOU,13EME ARRONDISSEMENT,AGLA-FIGARO carré 2219",,,
Guillaume-Lucas Bonneau,1930-10-10,Féminin,"ALIBORI,BANIKOARA,SOMPEROUKOU,POTO carré 0319",guillaume-lucasbonneau@gmail.com,+22961972681,maquettiste
Constance Marie du Masse,1980-03-07,Féminin,"OUEME,SEME-PODJI,EKPE,EKPE GBEDJAME carré 9395",constancemariedumasse@gmail.com,+22961234414,auteur-compositeur interprète interprète
Éric-Denis Bruneau,1971-07-21,Féminin,"COLLINES,OUESSE,KILIBO,AFFESSOMOU carré 2172",éric-denisbruneau@gmail.com,+22966780935,éducateur de jeunes enfants
Charlotte Morin,1946-11-10,Masculin,"COLLINES,GLAZOUE,MAGOUMI,HOUALA carré 0707",charlottemorin@gmail.com,+22965769276,conseiller espace info-énergie
Éric Torres,1933-04-03,Masculin,"ALIBORI,KANDI,SONSORO,SINAWONGOUROU carré 8801",érictorres@gmail.com,+22964772373,commerçant en alimentation
Édouard Guérin du Delattre,2015-03-27,Féminin,"BORGOU,KALALE,PEONGA,GANDO-BAKA carré 1001",,,
Gérard Lombard,1949-05-25,Masculin,"ATLANTIQUE,TORI-BOSSITO,TORI-BOSSITO,TOCOLI carré 5151",gérardlombard@gmail.com,+22956726363,consignataire de navire
Christelle-Audrey Imbert,1958-01-18,Masculin,"COUFFO,DJAKOTOMEY,KPOBA,ZOHOUDJI carré 7826",christelle-audreyimbert@gmail.com,+22997029742,ingénieur en aéronautique
Josette du Hamon,1970-11-30,Masculin,"MONO,LOKOSSA,OUEDEME-ADJA,DJONDJI-ZOUNME carré 3465",josetteduhamon@gmail.com,+22996283341,astrophysicien
Simone Bonnin,1939-07-09,Masculin,"ZOU,DJIDJA,DAN,LINSINLIN carré 1543",simonebonnin@gmail.com,+22997472287,staffeur-ornemaniste
François Vaillant,1976-04-18,Masculin,"LITTORAL,COTONOU,6EME ARRONDISSEMENT,DJIDJE carré 3415",françoisvaillant@gmail.com,+22969059019,gendarme
Louise-Luce Philippe,1955-12-14,Féminin,"ATLANTIQUE,ABOMEY-CALAVI,ABOMEY-CALAVI,ZOPAH KPOKPO carré 9214",louise-lucephilippe@gmail.com,+22965507111,serrurier-métallier
Maurice de Brunet,1979-10-11,Masculin,"LITTORAL,COTONOU,7EME ARRONDISSEMENT,ENAGNON-SIKE carré 0693",mauricedebrunet@gmail.com,+22969670013,hot liner
Emmanuel Vallée,2004-02-29,Féminin,"ATLANTIQUE,ABOMEY-CALAVI,ABOMEY-CALAVI,SEME carré 2241",emmanuelvallée@gmail.com,+22995133571,ingénieur en construction navale
Honoré Michel-Hubert,1985-09-15,Masculin,"ALIBORI,SEGBANA,LIBOUSSOU,KAMBARA carré 0729",honorémichel-hubert@gmail.com,+22957163315,biologiste en environnement
Aimé du Thibault,2006-10-04,Masculin,"ZOU,COVE,GOUNLI,AHITO carré 7357",,,
André Briand du Martins,1962-04-15,Masculin,"PLATEAU,IFANGNI,TCHAADA,KO-ANAGODO carré 0550",andrébrianddumartins@gmail.com,+22994863195,ingénieur système
Jacques Normand,1961-12-19,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,TOGBA,TOGBA MARIA-GLETA carré 7601",jacquesnormand@gmail.com,+22959310273,spécialiste des affaires réglementaires en chimie
Denise Bertrand,1938-07-15,Masculin,"ATACORA,KOUANDE,BIRNI,HONGON carré 4871",denisebertrand@gmail.com,+22959562343,ouvrier agricole
Théodore Lefebvre-Thierry,1988-01-25,Masculin,"OUEME,DANGBO,ZOUNGUE,ZOUNTA carré 3504",théodorelefebvre-thierry@gmail.com,+22990908247,spécialiste de l'accessibilité numérique
Bernard Gallet,1995-02-13,Masculin,"COLLINES,SAVE,BONI,AWO SERIKI carré 6366",bernardgallet@gmail.com,+22950805628,tailleur-couturier
Lucas Allard-Gallet,1990-05-05,Masculin,"ATACORA,MATERI,TCHANHOUNCOSSI,TCHANHOUNCOSSI carré 6922",lucasallard-gallet@gmail.com,+22964245633,étalagiste
