Nom,Age,Type_d_infraction,Infraction,Date_d_infraction
Alice de la Poulain,69.0,Contraventions,Blessures involontaires,1980-12-11
Émilie Guillon de Duhamel,79.0,Contraventions,Travail et sécurité sociale,1989-06-14
Émilie Guillon de Duhamel,79.0,Contraventions,Circulation routière,1981-12-28
Grégoire Bouvet,52.0,Délits,Blessures involontaires,1994-09-30
Grégoire Bouvet,52.0,Crimes,"Vols, recels, destructions",1993-06-22
Victoire-Claude Lemaire,92.0,Délits,Blessures involontaires,1993-12-29
Victoire-Claude Lemaire,92.0,Délits,Fraudes et contrefaçons,1961-07-22
Xavier de Lebreton,49.0,Contraventions,Blessures involontaires,1998-08-14
Xavier de Lebreton,49.0,Contraventions,Infractions en matière de transport,2011-04-18
Xavier de Lebreton,49.0,Contraventions,Blessures involontaires,1996-02-07
Xavier de Lebreton,49.0,Délits,Destructions - dégradations,2007-11-25
Martin Faivre,75.0,Contraventions,Atteintes aux moeurs,2012-04-07
Martin Faivre,75.0,Contraventions,Atteintes à la sûreté publique,2018-10-28
Emmanuelle Langlois,85.0,Crimes,Coups et violences volontaires,2013-08-21
Emmanuelle Langlois,85.0,Crimes,"Vols, recels, destructions",1961-10-11
Benoît Verdier,27.0,Crimes,Homicides volontaires,2022-09-26
Benoît Verdier,27.0,Contraventions,Ordre administratif et judiciaire,2014-11-07
Claire de la Allain,65.0,Contraventions,Blessures involontaires,2020-02-04
Alix Bonneau,58.0,Délits,Vols - recels,2012-08-17
Alix Bonneau,58.0,Délits,Autres atteintes à la personne,2005-06-18
Alix Bonneau,58.0,Crimes,Coups et violences volontaires,2016-10-22
Alix Bonneau,58.0,Crimes,"Vols, recels, destructions",1994-08-03
Alix Bonneau,58.0,Crimes,Atteintes a la surete publique,1996-07-19
Alix Bonneau,58.0,Crimes,"Vols, recels, destructions",1995-03-28
Alix Bonneau,58.0,Délits,Police des étrangers - nomades,1985-03-20
Alix Bonneau,58.0,Délits,Police des étrangers - nomades,1995-01-10
Corinne-Louise Valentin,36.0,Contraventions,Ordre administratif et judiciaire,2011-04-02
Corinne-Louise Valentin,36.0,Contraventions,Atteintes aux biens,2016-05-09
Corinne-Louise Valentin,36.0,Crimes,Coups et violences volontaires,2022-05-24
Corinne-Louise Valentin,36.0,Délits,Faux en écriture publique ou privée,2020-01-27
Corinne-Louise Valentin,36.0,Contraventions,Circulation routière,2010-04-17
Corinne-Louise Valentin,36.0,Délits,Police des étrangers - nomades,2012-05-04
Corinne-Louise Valentin,36.0,Contraventions,Blessures involontaires,2018-09-04
William Delannoy,71.0,Délits,Atteintes à la famille,2021-06-13
Gilbert Foucher,89.0,Crimes,Atteintes a la surete publique,2018-05-15
Gilbert Foucher,89.0,Contraventions,Ordre administratif et judiciaire,1963-05-28
Gilbert Foucher,89.0,Crimes,Homicides volontaires,2015-08-30
Margot Riou du Fernandes,34.0,Crimes,Homicides volontaires,2015-09-05
Margot Riou du Fernandes,34.0,Contraventions,Coups et violences volontaires,2008-06-30
Audrey de la Schneider,88.0,Délits,Autres atteintes à la sûreté publique,1965-11-21
Audrey de la Schneider,88.0,Délits,Atteintes à l'environnement,1985-03-11
Audrey de la Schneider,88.0,Crimes,Atteintes a la surete publique,1989-04-27
Pierre Maréchal,47.0,Contraventions,Ordre administratif et judiciaire,2006-05-25
Pierre Maréchal,47.0,Délits,Atteintes aux moeurs,2021-09-06
Pierre Maréchal,47.0,Crimes,Coups et violences volontaires,2000-12-10
Pierre Maréchal,47.0,Contraventions,Atteintes aux moeurs,2020-12-01
Gilbert Gimenez,68.0,Contraventions,Infractions en matière de transport,1996-02-28
Gilbert Gimenez,68.0,Contraventions,Autres atteintes aux personnes,2020-02-24
Gilbert Gimenez,68.0,Crimes,"Vols, recels, destructions",2002-08-04
Gilbert Gimenez,68.0,Crimes,Coups et violences volontaires,2001-09-21
Gilbert Gimenez,68.0,Délits,Atteintes aux moeurs,2013-04-07
Gilbert Gimenez,68.0,Crimes,Coups et violences volontaires,1982-12-03
Benjamin Besnard,30.0,Délits,Atteintes aux moeurs,2016-05-10
Émilie Pages du Gautier,41.0,Délits,Ordre administratif et judiciaire,2016-08-26
Émilie Pages du Gautier,41.0,Délits,Escroqueries - abus de confiance,2001-08-01
Émilie Pages du Gautier,41.0,Crimes,"Vols, recels, destructions",2010-08-21
Émilie Pages du Gautier,41.0,Crimes,"Vols, recels, destructions",2003-12-30
Camille Michaud,48.0,Délits,Infractions militaires,2005-06-13
Camille Michaud,48.0,Crimes,Coups et violences volontaires,2001-04-23
Camille Michaud,48.0,Crimes,Coups et violences volontaires,2008-09-27
Camille Michaud,48.0,Contraventions,Circulation routière,2002-08-01
Camille Michaud,48.0,Contraventions,Atteintes aux biens,2015-06-18
Camille Michaud,48.0,Contraventions,Coups et violences volontaires,1996-03-16
Christelle Lenoir,25.0,Contraventions,Atteintes à la santé,2017-08-18
Christelle Lenoir,25.0,Délits,Blessures involontaires,2018-09-09
Thérèse de la Chevalier,65.0,Délits,Autres infractions à la santé publique,2013-07-12
Thérèse de la Chevalier,65.0,Délits,Autres atteintes à la personne,1992-06-07
Nath de Coste,24.0,Contraventions,Ordre administratif et judiciaire,2017-03-19
Nath de Coste,24.0,Crimes,Atteintes a la surete publique,2021-03-06
Nath de Coste,24.0,Contraventions,Atteintes à la santé,2022-02-25
Augustin Gonzalez-Jacob,76.0,Crimes,"Vols, recels, destructions",1983-04-03
Augustin Gonzalez-Jacob,76.0,Crimes,Atteintes a la surete publique,2006-09-06
Augustin Gonzalez-Jacob,76.0,Crimes,"Vols, recels, destructions",1997-08-29
Étienne-Georges Grondin,77.0,Crimes,Homicides volontaires,2015-10-12
Étienne-Georges Grondin,77.0,Crimes,Coups et violences volontaires,1993-02-26
Céline de Pascal,79.0,Délits,Atteintes à l'environnement,1967-06-18
Céline de Pascal,79.0,Délits,Autres infractions à la santé publique,2020-06-07
Céline de Pascal,79.0,Crimes,"Vols, recels, destructions",2015-03-24
Victoire-Nicole Lopez,67.0,Délits,Fraudes et contrefaçons,1985-09-30
Victoire-Nicole Lopez,67.0,Délits,Infractions sur les stupéfiants,1987-10-19
Victoire-Nicole Lopez,67.0,Délits,Coups et violences volontaires,1977-02-15
Victoire-Nicole Lopez,67.0,Délits,Homicides involontaires,1999-04-08
Aimée-Diane Robin,43.0,Crimes,Coups et violences volontaires,2017-12-14
Aimée-Diane Robin,43.0,Délits,Autres infractions à la santé publique,2019-03-10
Aimée-Diane Robin,43.0,Contraventions,Travail et sécurité sociale,2019-08-10
Aimée-Diane Robin,43.0,Délits,Police des étrangers - nomades,2022-01-14
Aimée-Diane Robin,43.0,Délits,Atteintes à la famille,2010-06-05
Aimée-Diane Robin,43.0,Crimes,Coups et violences volontaires,2004-06-12
Aimée-Diane Robin,43.0,Délits,Atteintes à l'environnement,2018-01-25
Aimée-Diane Robin,43.0,Crimes,Homicides volontaires,2016-04-28
Aimée-Diane Robin,43.0,Contraventions,Atteintes à l'environnement,2019-08-04
Olivier Berger,57.0,Délits,Autres atteintes à la sûreté publique,2006-06-12
Olivier Berger,57.0,Contraventions,Travail et sécurité sociale,2021-10-07
Olivier Berger,57.0,Délits,Atteintes aux moeurs,1999-05-26
Olivier Berger,57.0,Contraventions,Atteintes aux moeurs,2014-03-25
Frédéric Couturier,88.0,Contraventions,Atteintes à la santé,2011-06-28
William Courtois,45.0,Contraventions,Coups et violences volontaires,2012-04-19
William Courtois,45.0,Crimes,Homicides volontaires,2014-06-11
William Courtois,45.0,Contraventions,Atteintes à la santé,1996-06-03
William Courtois,45.0,Contraventions,Travail et sécurité sociale,2018-10-16
William Courtois,45.0,Crimes,Homicides volontaires,2020-09-28
William Courtois,45.0,Délits,Autres infractions à la santé publique,2020-04-06
William Courtois,45.0,Contraventions,Infractions en matière de transport,2002-04-14
William Courtois,45.0,Crimes,Coups et violences volontaires,2006-05-13
William Courtois,45.0,Contraventions,Atteintes aux moeurs,2011-04-29
William Courtois,45.0,Crimes,Homicides volontaires,1998-06-14
Élodie Lévy,74.0,Crimes,Homicides volontaires,1990-03-26
Élodie Lévy,74.0,Délits,Chèques,2002-08-08
Victor Devaux,82.0,Délits,Vols - recels,1973-04-21
Sabine Imbert,90.0,Délits,Atteintes aux finances publiques,1996-12-27
Sabine Imbert,90.0,Contraventions,Atteintes à l'environnement,1981-12-03
Sabine Imbert,90.0,Crimes,"Vols, recels, destructions",1999-04-07
Maryse Reynaud-Michaud,25.0,Crimes,Homicides volontaires,2017-07-14
Maryse Reynaud-Michaud,25.0,Délits,Atteintes à la famille,2021-05-11
Laurent-Bertrand Lefort,52.0,Crimes,Coups et violences volontaires,1992-01-11
Laurent-Bertrand Lefort,52.0,Crimes,Homicides volontaires,2018-05-06
Laurent-Bertrand Lefort,52.0,Délits,Infractions sur les stupéfiants,2016-03-03
Laurent-Bertrand Lefort,52.0,Délits,Atteintes aux finances publiques,1998-02-03
Laurent-Bertrand Lefort,52.0,Contraventions,Blessures involontaires,1999-09-16
Laurent-Bertrand Lefort,52.0,Contraventions,Atteintes à la santé,2014-03-23
Laurent-Bertrand Lefort,52.0,Crimes,Coups et violences volontaires,2007-08-21
Laurent-Bertrand Lefort,52.0,Crimes,Homicides volontaires,2004-12-26
Margot Delorme,58.0,Crimes,"Vols, recels, destructions",1995-07-02
Margot Delorme,58.0,Crimes,Homicides volontaires,2010-01-31
Margot Delorme,58.0,Contraventions,Infractions en matière de transport,2008-03-06
Cécile Delattre-Arnaud,34.0,Contraventions,Atteintes aux biens,2022-11-21
Margaud Lecomte,54.0,Délits,Blessures involontaires,2004-04-22
Margaud Lecomte,54.0,Contraventions,Atteintes à la santé,2014-08-30
Margaud Lecomte,54.0,Délits,Atteintes aux finances publiques,1990-03-21
Margaud Lecomte,54.0,Délits,Vols - recels,1996-07-01
Margaud Lecomte,54.0,Crimes,Homicides volontaires,1997-09-05
Mathilde Delmas-Barbier,64.0,Crimes,Atteintes a la surete publique,1999-04-15
Mathilde Delmas-Barbier,64.0,Crimes,Homicides volontaires,1981-10-01
Mathilde Delmas-Barbier,64.0,Délits,Police des étrangers - nomades,2006-06-29
Mathilde Delmas-Barbier,64.0,Délits,Vols - recels,2017-08-03
Mathilde Delmas-Barbier,64.0,Délits,"Législation sur la concurrence, les prix",2005-02-28
Mathilde Delmas-Barbier,64.0,Contraventions,Coups et violences volontaires,2013-07-18
Mathilde Delmas-Barbier,64.0,Contraventions,Atteintes à l'ordre économique,2017-01-02
Théodore Simon-Breton,73.0,Délits,Destructions - dégradations,2008-10-29
Benjamin Martinez-Laine,24.0,Délits,Travail et sécurité sociale,2022-03-04
Benjamin Martinez-Laine,24.0,Délits,Infractions sur les stupéfiants,2019-06-29
Nathalie-Chantal Jacques,88.0,Crimes,Coups et violences volontaires,1971-07-05
Nathalie-Chantal Jacques,88.0,Crimes,Coups et violences volontaires,1985-01-26
Alphonse Dupont-Petit,22.0,Crimes,Homicides volontaires,2022-09-13
Alphonse Dupont-Petit,22.0,Contraventions,Atteintes à l'environnement,2022-04-02
Alphonse Dupont-Petit,22.0,Délits,Police des étrangers - nomades,2019-03-11
Alphonse Dupont-Petit,22.0,Contraventions,Atteintes aux biens,2022-07-07
Alphonse Le Olivier,91.0,Crimes,Homicides volontaires,2003-04-18
Rémy Le Michaud,35.0,Délits,Escroqueries - abus de confiance,2011-08-21
Rémy Le Michaud,35.0,Contraventions,Blessures involontaires,2020-04-09
Théodore De Oliveira-Nicolas,78.0,Contraventions,Blessures involontaires,1983-02-04
Théodore De Oliveira-Nicolas,78.0,Crimes,Coups et violences volontaires,1999-08-29
Cécile Clerc,85.0,Contraventions,Coups et violences volontaires,2014-02-16
Cécile Clerc,85.0,Contraventions,Autres atteintes aux personnes,1976-05-25
Cécile Clerc,85.0,Crimes,Atteintes a la surete publique,1965-10-27
Amélie de la Picard,64.0,Délits,Ordre administratif et judiciaire,1982-05-03
Amélie de la Picard,64.0,Délits,Fraudes et contrefaçons,2020-12-29
Amélie de la Picard,64.0,Crimes,Coups et violences volontaires,2010-10-16
Amélie de la Picard,64.0,Crimes,Homicides volontaires,2018-03-23
Amélie de la Picard,64.0,Contraventions,Autres atteintes aux personnes,1978-11-28
Amélie de la Picard,64.0,Délits,Autres atteintes à la personne,2008-10-18
Arthur Fabre,46.0,Délits,Travail et sécurité sociale,2022-02-07
Arthur Fabre,46.0,Délits,Autres infractions à la santé publique,1996-01-02
