relative_to,sender,receiver,operator,type,date,amount
,,,mtn,CASH_OUT,2022-01-18,292600
Maurice de la Pineau,Maurice de la Pineau,Marie Letellier,mtn,TRANSFER,2022-01-23,284800
Marie Letellier,Maurice de la Pineau,Marie Letellier,mtn,RECEIPT,2022-01-23,284800
Constance Chrétien-Briand,Constance Chrétien-Briand,Bertrand-Benoît Pereira,mtn,TRANSFER,2022-01-11,277100
Bertrand-Benoît Pereira,Constance Chrétien-Briand,Bertrand-Benoît Pereira,mtn,RECEIPT,2022-01-11,277100
,,Constance Chrétien-Briand,mtn,CASH_IN,2022-01-19,86200
Constance Chrétien-Briand,Constance Chrétien-Briand,Diane Lemoine,mtn,TRANSFER,2022-01-21,395800
Diane Lemoine,Constance Chrétien-Briand,Diane Lemoine,mtn,RECEIPT,2022-01-21,395800
,,,mtn,CASH_OUT,2022-01-25,94700
,,Thibault Laporte,mtn,CASH_IN,2022-01-04,213800
,,,mtn,CASH_OUT,2022-01-06,175000
,,Thibault Laporte,mtn,CASH_IN,2022-01-17,177700
,,,mtn,CASH_OUT,2022-01-27,299700
,,,mtn,CASH_OUT,2022-01-27,120900
Franck Bailly,René du Gimenez,Franck Bailly,mtn,RECEIPT,2022-01-01,458300
René du Gimenez,René du Gimenez,Franck Bailly,mtn,TRANSFER,2022-01-01,458300
,,,mtn,CASH_OUT,2022-01-04,301700
Franck Bailly,Franck Bailly,Gilbert-Stéphane Blanchet,mtn,TRANSFER,2022-01-16,225900
Gilbert-Stéphane Blanchet,Franck Bailly,Gilbert-Stéphane Blanchet,mtn,RECEIPT,2022-01-16,225900
,,Gilbert du Foucher,mtn,CASH_IN,2022-01-09,300000
,,Matthieu-Guy Charpentier,mtn,CASH_IN,2022-01-27,308900
,,Matthieu-Guy Charpentier,mtn,CASH_IN,2022-01-27,27100
,,Louis Pereira,moov,CASH_IN,2022-01-04,400500
,,,moov,CASH_OUT,2022-01-04,434100
,,,moov,CASH_OUT,2022-01-12,383900
Louis Pereira,Louis Pereira,Michel Joseph,moov,TRANSFER,2022-01-27,30600
Michel Joseph,Louis Pereira,Michel Joseph,moov,RECEIPT,2022-01-27,30600
Josette Le Bouvier,Richard Bonnet,Josette Le Bouvier,moov,RECEIPT,2022-01-10,271500
Richard Bonnet,Richard Bonnet,Josette Le Bouvier,moov,TRANSFER,2022-01-10,271500
Bertrand-Bernard Faivre,Bertrand-Bernard Faivre,Théodore de la Seguin,mtn,TRANSFER,2022-01-01,293500
Théodore de la Seguin,Bertrand-Bernard Faivre,Théodore de la Seguin,mtn,RECEIPT,2022-01-01,293500
,,,mtn,CASH_OUT,2022-01-08,324800
,,Bertrand-Bernard Faivre,mtn,CASH_IN,2022-01-15,284900
,,,mtn,CASH_OUT,2022-01-20,407600
,,,mtn,CASH_OUT,2022-01-09,234500
,,Édouard Leroy,moov,CASH_IN,2022-01-05,192300
Édouard Leroy,Rémy du Delaunay,Édouard Leroy,moov,RECEIPT,2022-01-14,33300
Rémy du Delaunay,Rémy du Delaunay,Édouard Leroy,moov,TRANSFER,2022-01-14,33300
Célina Imbert-Girard,Robert Martin,Célina Imbert-Girard,moov,RECEIPT,2022-01-01,134500
Robert Martin,Robert Martin,Célina Imbert-Girard,moov,TRANSFER,2022-01-01,134500
Célina Imbert-Girard,Théodore-Alain Laroche,Célina Imbert-Girard,moov,RECEIPT,2022-01-01,160600
