Type,Montant,Nom_src,Ancien_solde_src,Nouveau_solde_src,Nom_dest,Ancien_solde_dest,Nouveau_solde_dest,Date
TRANSFER,63924,Robert-Louis Gosselin,66700,2776,Anastasie Cousin,908400,972324,2022-01-01
TRANSFER,547774,Anastasie Cousin,972324,424550,Nath Loiseau,1022100,474326,2022-01-05
CASH_IN,120034,Agence_moov_Abomey,300000,179966,Anastasie Cousin,424550,544584,2022-01-07
CASH_IN,143224,Agence_moov_Abomey,300000,156776,Anastasie Cousin,544584,687808,2022-01-16
TRANSFER,1453992,Stéphane Munoz,1954800,500808,Anastasie Cousin,687808,2141800,2022-01-26
CASH_IN,220719,Agence_moov_Ouidah,300000,79281,Paulette Loiseau,1966500,2187219,2022-01-05
CASH_IN,160414,Agence_moov_Cotonou,300000,139586,Paulette Loiseau,2187219,2347633,2022-01-12
CASH_OUT,2167674,Paulette Loiseau,2347633,179959,Agence_moov_Cotonou,300000,-1867674,2022-01-23
CASH_OUT,342521,Adèle Da Silva-Klein,429600,87079,Agence_moov_Abomey,300000,-42521,2022-01-02
CASH_IN,182711,Agence_moov_Ouidah,300000,117289,Adèle Da Silva-Klein,87079,269790,2022-01-08
CASH_OUT,86617,Adèle Da Silva-Klein,269790,183173,Agence_moov_Cotonou,300000,213383,2022-01-14
TRANSFER,56756,Adèle Da Silva-Klein,183173,126417,Vincent de la Dumont,1542000,1485244,2022-01-17
CASH_OUT,17504,Émilie du Allain,136600,119096,Agence_moov_Cotonou,300000,282496,2022-01-16
CASH_IN,42895,Agence_moov_Abomey,300000,257105,Émilie du Allain,119096,161991,2022-01-17
CASH_IN,10046,Agence_moov_Cotonou,300000,289954,Émilie du Allain,161991,172037,2022-01-18
TRANSFER,892845,Matthieu-Matthieu Bigot,999000,106155,Émilie du Allain,172037,1064882,2022-01-20
TRANSFER,299423,Émilie du Allain,1064882,765459,Mathilde Picard du Delmas,161500,-137923,2022-01-25
CASH_IN,263669,Agence_moov_Abomey,300000,36331,Hélène Le Chauvin,1563400,1827069,2022-01-05
TRANSFER,534811,Simone Muller de la Brun,598700,63889,Hélène Le Chauvin,1827069,2361880,2022-01-05
CASH_OUT,885537,Hélène Le Chauvin,2361880,1476343,Agence_moov_Ouidah,300000,-585537,2022-01-26
TRANSFER,28658,Thérèse Hubert,487800,459142,Noël Bourgeois,840300,811642,2022-01-10
CASH_OUT,214939,Thérèse Hubert,459142,244203,Agence_moov_Abomey,300000,85061,2022-01-16
CASH_OUT,61255,Thérèse Hubert,244203,182948,Agence_moov_Ouidah,300000,238745,2022-01-18
TRANSFER,171516,Thérèse Hubert,182948,11432,Paul Perez,830400,658884,2022-01-25
CASH_OUT,1261313,Robert Laroche,1829200,567887,Agence_moov_Abomey,300000,-961313,2022-01-02
CASH_IN,276590,Agence_moov_Cotonou,300000,23410,Robert Laroche,567887,844477,2022-01-02
TRANSFER,795560,Robert Laroche,844477,48917,Thérèse François,1171300,375740,2022-01-05
TRANSFER,27494,Robert Laroche,48917,21423,Victor Michel,662300,634806,2022-01-13
CASH_IN,135096,Agence_moov_Abomey,300000,164904,Manon Chevalier,462300,597396,2022-01-06
TRANSFER,265561,Manon Chevalier,597396,331835,Thomas Dupont,338000,72439,2022-01-14
TRANSFER,216815,Stéphane Munoz,500808,283993,Manon Chevalier,331835,548650,2022-01-23
CASH_IN,145646,Agence_moov_Cotonou,300000,154354,Robert Clerc,1944000,2089646,2022-01-07
CASH_IN,230598,Agence_moov_Cotonou,300000,69402,Robert Clerc,2089646,2320244,2022-01-11
TRANSFER,1312718,Marc Leleu,1335900,23182,Emmanuel Grégoire,1313100,382,2022-01-16
CASH_IN,217630,Agence_moov_Cotonou,300000,82370,Mathilde Picard du Delmas,-137923,79707,2022-01-15
TRANSFER,61808,Richard Michel,128700,66892,Mathilde Picard du Delmas,79707,141515,2022-01-23
TRANSFER,47447,Léon Da Costa,99000,51553,Tristan Delahaye,695700,743147,2022-01-17
CASH_IN,46010,Agence_moov_Ouidah,300000,253990,Tristan Delahaye,743147,789157,2022-01-23
CASH_OUT,194672,Thibaut de la Roy,1000900,806228,Agence_moov_Abomey,300000,105328,2022-01-04
CASH_IN,134313,Agence_moov_Abomey,300000,165687,Matthieu-Matthieu Bigot,106155,240468,2022-01-05
CASH_IN,180653,Agence_moov_Ouidah,300000,119347,Matthieu-Matthieu Bigot,240468,421121,2022-01-07
TRANSFER,710347,Vincent de la Dumont,1485244,774897,Matthieu-Matthieu Bigot,421121,1131468,2022-01-13
TRANSFER,467562,Anne Peltier-Raynaud,1667400,1199838,Matthieu-Matthieu Bigot,1131468,1599030,2022-01-21
CASH_OUT,1244040,Matthieu-Matthieu Bigot,1599030,354990,Agence_moov_Cotonou,300000,-944040,2022-01-26
CASH_OUT,976926,Colette Merle Le Robert,1027100,50174,Agence_moov_Cotonou,300000,-676926,2022-01-14
CASH_OUT,616818,Bernadette de Jourdan,1087700,470882,Agence_moov_Abomey,300000,-316818,2022-01-05
CASH_IN,133035,Agence_moov_Cotonou,300000,166965,Bernadette de Jourdan,470882,603917,2022-01-13
CASH_IN,287377,Agence_moov_Ouidah,300000,12623,Bernadette de Jourdan,603917,891294,2022-01-16
CASH_OUT,105458,Bernadette de Jourdan,891294,785836,Agence_moov_Ouidah,300000,194542,2022-01-21
CASH_IN,68712,Agence_moov_Cotonou,300000,231288,Michelle-Dorothée Lévêque,1101300,1170012,2022-01-02
TRANSFER,182823,Virginie Bouvet,373000,190177,Michelle-Dorothée Lévêque,1170012,1352835,2022-01-03
TRANSFER,33497,Marthe Gilles,48200,14703,Michelle-Dorothée Lévêque,1352835,1386332,2022-01-23
CASH_IN,274158,Agence_moov_Cotonou,300000,25842,Céline Collin-Hervé,1711900,1986058,2022-01-01
CASH_OUT,1743977,Céline Collin-Hervé,1986058,242081,Agence_moov_Ouidah,300000,-1443977,2022-01-04
TRANSFER,514651,Maggie Martinez,528600,13949,Céline Collin-Hervé,242081,756732,2022-01-19
CASH_OUT,194201,Céline Collin-Hervé,756732,562531,Agence_moov_Abomey,300000,105799,2022-01-22
CASH_IN,38503,Agence_moov_Abomey,300000,261497,Céline Collin-Hervé,562531,601034,2022-01-25
TRANSFER,162315,Frédérique Fernandes du Bouchet,1287100,1124785,Jules Fernandes,654400,816715,2022-01-07
TRANSFER,688088,Jules Fernandes,816715,128627,Andrée-Thérèse Mendès,969900,281812,2022-01-12
TRANSFER,100066,Jules Fernandes,128627,28561,Virginie Bouvet,190177,90111,2022-01-19
CASH_OUT,717359,Philippe Philippe,1264100,546741,Agence_moov_Ouidah,300000,-417359,2022-01-07
CASH_OUT,451933,Thomas-Robert Morvan,1274900,822967,Agence_moov_Cotonou,300000,-151933,2022-01-01
CASH_IN,77354,Agence_moov_Ouidah,300000,222646,Thomas-Robert Morvan,822967,900321,2022-01-05
CASH_IN,13924,Agence_moov_Cotonou,300000,286076,Thomas-Robert Morvan,900321,914245,2022-01-09
CASH_IN,9401,Agence_moov_Abomey,300000,290599,Thomas-Robert Morvan,914245,923646,2022-01-17
CASH_OUT,124047,Thomas-Robert Morvan,923646,799599,Agence_moov_Abomey,300000,175953,2022-01-24
CASH_OUT,10482,Lucy Lamy,40400,29918,Agence_moov_Cotonou,300000,289518,2022-01-01
TRANSFER,1305,Lucy Lamy,29918,28613,Lucy Lamy,29918,31223,2022-01-18
TRANSFER,65396,Martine Aubert,797000,731604,Lucy Lamy,28613,94009,2022-01-21
CASH_IN,299558,Agence_moov_Ouidah,300000,442,Lucy Lamy,94009,393567,2022-01-22
TRANSFER,40093,Thomas Guichard du Renault,510900,470807,Constance Guillon,1383800,1423893,2022-01-18
TRANSFER,27796,Noël Bourgeois,811642,783846,Constance Guillon,1423893,1451689,2022-01-21
CASH_IN,150025,Agence_moov_Ouidah,300000,149975,Constance Guillon,1451689,1601714,2022-01-24
TRANSFER,718913,Véronique Martins de Fleury,1458900,739987,Stéphane Munoz,283993,-434920,2022-01-01
TRANSFER,988528,Camille Prévost,1800200,811672,Véronique Martins de Fleury,739987,1728515,2022-01-03
CASH_OUT,147543,Véronique Martins de Fleury,1728515,1580972,Agence_moov_Abomey,300000,152457,2022-01-05
CASH_OUT,229437,Véronique Martins de Fleury,1580972,1351535,Agence_moov_Ouidah,300000,70563,2022-01-14
TRANSFER,245283,Timothée-René Blanchard,383900,138617,Gérard de la Martinez,1560000,1805283,2022-01-09
CASH_IN,263478,Agence_moov_Ouidah,300000,36522,Gérard de la Martinez,1805283,2068761,2022-01-10
TRANSFER,37970,Thomas Dupont,72439,34469,Gérard de la Martinez,2068761,2106731,2022-01-11
CASH_IN,154144,Agence_moov_Ouidah,300000,145856,Gérard de la Martinez,2106731,2260875,2022-01-14
TRANSFER,996794,Frédérique Fernandes du Bouchet,1124785,127991,Gérard de la Martinez,2260875,3257669,2022-01-17
CASH_OUT,72399,Virginie Bouvet,90111,17712,Agence_moov_Abomey,300000,227601,2022-01-03
CASH_OUT,221,Virginie Bouvet,17712,17491,Agence_moov_Abomey,300000,299779,2022-01-11
TRANSFER,39075,Sabine Pineau,439000,399925,Virginie Bouvet,17491,56566,2022-01-22
CASH_OUT,54847,Noémi Bouvier,1753800,1698953,Agence_moov_Ouidah,300000,245153,2022-01-01
CASH_IN,295152,Agence_moov_Ouidah,300000,4848,Noémi Bouvier,1698953,1994105,2022-01-02
CASH_OUT,428849,Noémi Bouvier,1994105,1565256,Agence_moov_Cotonou,300000,-128849,2022-01-02
TRANSFER,481422,Noémi Bouvier,1565256,1083834,Thomas Dupont,34469,-446953,2022-01-03
CASH_OUT,476502,Noémi Bouvier,1083834,607332,Agence_moov_Abomey,300000,-176502,2022-01-08
CASH_IN,80298,Agence_moov_Ouidah,300000,219702,Noémi Bouvier,607332,687630,2022-01-09
CASH_OUT,535945,Noémi Bouvier,687630,151685,Agence_moov_Cotonou,300000,-235945,2022-01-09
TRANSFER,67123,Noémi Bouvier,151685,84562,Clémence-Véronique Munoz,626800,559677,2022-01-12
CASH_IN,81498,Agence_moov_Ouidah,300000,218502,Noémi Bouvier,84562,166060,2022-01-12
CASH_IN,226849,Agence_moov_Ouidah,300000,73151,Noémi Bouvier,166060,392909,2022-01-13
CASH_IN,81676,Agence_moov_Ouidah,300000,218324,Noémi Bouvier,392909,474585,2022-01-13
CASH_OUT,71052,Noémi Bouvier,474585,403533,Agence_moov_Ouidah,300000,228948,2022-01-15
TRANSFER,81280,Noémi Bouvier,403533,322253,Nathalie Bonnin-Joubert,1208700,1127420,2022-01-15
CASH_OUT,238394,Noémi Bouvier,322253,83859,Agence_moov_Abomey,300000,61606,2022-01-20
TRANSFER,19962,Noémi Bouvier,83859,63897,Colette-Sophie Prévost,370500,350538,2022-01-20
CASH_OUT,32603,Noémi Bouvier,63897,31294,Agence_moov_Abomey,300000,267397,2022-01-21
CASH_IN,118989,Agence_moov_Abomey,300000,181011,Noémi Bouvier,31294,150283,2022-01-22
CASH_IN,39227,Agence_moov_Ouidah,300000,260773,Noémi Bouvier,150283,189510,2022-01-25
TRANSFER,642080,Renée Rousseau-Henry,1375500,733420,Noémi Bouvier,189510,831590,2022-01-25
TRANSFER,248252,Noémi Bouvier,831590,583338,Agnès Le Giraud,1492000,1243748,2022-01-26
TRANSFER,441882,Noémi Bouvier,583338,141456,Hélène de la Gérard,1742000,1300118,2022-01-26
CASH_OUT,96331,Noémi Bouvier,141456,45125,Agence_moov_Ouidah,300000,203669,2022-01-27
CASH_OUT,879470,Émile-René Baudry,1886100,1006630,Agence_moov_Abomey,300000,-579470,2022-01-01
CASH_OUT,721019,Émile-René Baudry,1006630,285611,Agence_moov_Cotonou,300000,-421019,2022-01-03
