Type,Montant,Nom_src,Ancien_solde_src,Nouveau_solde_src,Nom_dest,Ancien_solde_dest,Nouveau_solde_dest,Date
CASH_OUT,34643,David Guérin,460800,426157,Agence_mtn_Cotonou,300000,265357,2022-01-07
CASH_OUT,298734,David Guérin,426157,127423,Agence_mtn_Ouidah,300000,1266,2022-01-12
CASH_OUT,76247,David Guérin,127423,51176,Agence_mtn_Abomey,300000,223753,2022-01-16
CASH_IN,88381,Agence_mtn_Cotonou,300000,211619,David Guérin,51176,139557,2022-01-24
CASH_IN,26205,Agence_mtn_Ouidah,300000,273795,Xavier de Lebreton,672400,698605,2022-01-04
CASH_OUT,554525,Xavier de Lebreton,698605,144080,Agence_mtn_Ouidah,300000,-254525,2022-01-08
CASH_IN,191587,Agence_mtn_Ouidah,300000,108413,Xavier de Lebreton,144080,335667,2022-01-25
CASH_OUT,1013750,Hortense Lemaire,1501400,487650,Agence_mtn_Abomey,300000,-713750,2022-01-04
CASH_OUT,351636,Hortense Lemaire,487650,136014,Agence_mtn_Cotonou,300000,-51636,2022-01-09
CASH_OUT,99870,Hortense Lemaire,136014,36144,Agence_mtn_Cotonou,300000,200130,2022-01-15
CASH_IN,143263,Agence_mtn_Cotonou,300000,156737,Thérèse-Margaux Bruneau,621000,764263,2022-01-01
TRANSFER,315743,Thérèse-Margaux Bruneau,764263,448520,Jeanne Garnier,1843100,1527357,2022-01-08
CASH_OUT,315667,Thérèse-Margaux Bruneau,448520,132853,Agence_mtn_Ouidah,300000,-15667,2022-01-21
CASH_IN,234083,Agence_mtn_Ouidah,300000,65917,Thérèse-Margaux Bruneau,132853,366936,2022-01-25
TRANSFER,244894,Thérèse-Margaux Bruneau,366936,122042,Alfred du Lesage,1195500,950606,2022-01-27
TRANSFER,224843,Pierre Reynaud,497400,272557,Valérie Dijoux,480100,704943,2022-01-03
TRANSFER,92958,Théodore De Oliveira-Nicolas,370200,277242,Valérie Dijoux,704943,797901,2022-01-25
TRANSFER,64171,Alexandre Rémy,142600,78429,Thibaut Coulon,654400,590229,2022-01-12
CASH_OUT,569616,Laurent-Bertrand Lefort,818500,248884,Agence_mtn_Abomey,300000,-269616,2022-01-14
TRANSFER,425602,Martine Wagner de la Bègue,480500,54898,Éléonore-Hélène Dubois,1175800,1601402,2022-01-05
TRANSFER,37685,William Lebrun,1194600,1156915,Éléonore-Hélène Dubois,1601402,1639087,2022-01-09
TRANSFER,209385,Théodore De Oliveira-Nicolas,277242,67857,Éléonore-Hélène Dubois,1639087,1848472,2022-01-13
TRANSFER,425357,Rémy de la Roux,725600,300243,Éléonore-Hélène Dubois,1848472,2273829,2022-01-27
TRANSFER,1352082,Éléonore-Hélène Dubois,2273829,921747,Virginie Le Gall,936300,-415782,2022-01-27
CASH_IN,38976,Agence_mtn_Abomey,300000,261024,Pénélope Ollivier,1297800,1336776,2022-01-02
TRANSFER,667744,Pénélope Ollivier,1336776,669032,Bertrand Le Roux,31000,-636744,2022-01-16
TRANSFER,1412579,Geneviève Grondin,1915200,502621,Rémy Le Michaud,1132500,-280079,2022-01-01
CASH_OUT,258489,Geneviève Grondin,502621,244132,Agence_mtn_Ouidah,300000,41511,2022-01-03
CASH_OUT,49930,Geneviève Grondin,244132,194202,Agence_mtn_Abomey,300000,250070,2022-01-10
TRANSFER,102182,Geneviève Grondin,194202,92020,David du Blondel,1540200,1438018,2022-01-11
CASH_IN,57688,Agence_mtn_Abomey,300000,242312,Geneviève Grondin,92020,149708,2022-01-26
CASH_IN,34252,Agence_mtn_Cotonou,300000,265748,Joséphine Gros,1380000,1414252,2022-01-04
TRANSFER,1465671,Jeanne Garnier,1527357,61686,Joséphine Gros,1414252,2879923,2022-01-05
CASH_OUT,1983544,Joséphine Gros,2879923,896379,Agence_mtn_Abomey,300000,-1683544,2022-01-12
TRANSFER,527423,Joséphine Gros,896379,368956,Claude Foucher,1050700,523277,2022-01-15
TRANSFER,1015136,Cécile Delattre-Arnaud,1175200,160064,Joséphine Gros,368956,1384092,2022-01-21
CASH_IN,155350,Agence_mtn_Ouidah,300000,144650,Alphonse Leclercq-Rousseau,1874500,2029850,2022-01-03
