Name,Age,is_sentenced
Zoé-Anne Joly,13,0
Charlotte-Aurélie Mace,5,0
Charlotte Lemaître,82,0
Denis Leblanc,10,0
Joséphine de Pineau,59,0
Claire Vasseur-Bertrand,89,1
Joséphine Teixeira,19,0
Emmanuelle Weber,8,0
Renée Lefèvre Le Imbert,14,0
Honoré Huet du Roger,25,1
Matthieu Prévost,81,0
Aurélie-Odette Deschamps,90,1
Hélène Boutin,57,1
André Lambert,37,1
Gilles Moulin,84,1
Gabriel Da Silva,78,1
Patrick Guichard-Rocher,46,1
Clémence Pelletier,60,0
Paulette Muller,18,0
Valérie Guilbert de la Foucher,83,1
Guy Legendre,27,0
Nathalie Martinez,59,1
Jérôme Olivier,20,0
Andrée Mallet,66,1
Georges Pasquier Le Rémy,45,1
Franck Gonzalez,69,1
Frédéric du Fournier,71,0
Timothée Henry,27,1
Grégoire Andre,28,1
Olivier Deschamps,48,1
Madeleine-Audrey Lefèvre,79,1
Andrée-Luce Rocher,3,0
Laurence-Nathalie Weber,74,1
Henri-Emmanuel Grondin,83,0
Arnaude Joly,83,1
Yves Peron,12,0
Tristan Coste,55,1
Stéphanie Deschamps de la Dupré,87,1
Nicolas Maury,42,0
Margot Besnard-Samson,75,1
Grégoire Petit,68,1
Guy de la Alves,75,1
Madeleine-Lorraine Simon,27,0
Noël-Patrick Evrard,60,1
Susan Turpin de la Bourdon,68,1
Clémence Boulanger-Poirier,44,1
Michelle Guillon-Hamon,33,1
Martine Potier,50,1
Brigitte Diaz,82,1
Henri Moreno,92,1
Hugues Lefèvre,3,0
Maggie Lecoq-Bourgeois,0,0
Roland Ramos,28,1
Bernard Didier,6,0
Brigitte Muller du Lecomte,89,0
Honoré Laine,19,0
Lorraine Hardy,64,1
Jacques Descamps,74,1
Antoine Le Charles,61,0
Franck Poirier-Thierry,16,0
Christiane Vasseur-Roussel,3,0
René Boulanger,27,1
Caroline Labbé,24,1
Joseph Brun,34,1
Josette Normand,19,0
Guy Munoz du Muller,46,0
Juliette Pereira,24,1
Dominique de la Pottier,18,0
Charles Tanguy-Foucher,54,1
Laurent Lopes,30,1
Alexandrie du Maillet,24,1
Inès Philippe-Da Costa,51,1
Jacqueline Colas,66,1
Adélaïde Hamel du Voisin,42,1
Maurice-Guy Joseph,4,0
Simone Dupuis,72,1
Philippe-Marcel Lefort,73,1
Honoré Joseph,74,1
Joséphine Guillon,84,1
Hugues Robert,23,1
Danielle David-Launay,90,1
Gérard Grégoire,43,1
Sabine Rodriguez du Hardy,57,1
Manon Le Launay,6,0
Claude Jourdan,65,1
Jérôme Boucher,75,0
William Blot,15,0
Noël Lagarde,21,1
Nathalie Dufour du Bonnin,64,1
Laure Carre,0,0
Marcel-Thibaut Picard,36,1
Antoine Becker,7,0
Laurent Thomas,71,1
Xavier Petit,86,1
Adèle Delattre,23,1
Clémence Laine,54,1
David Pascal,74,1
Sébastien Besnard,90,0
Franck Rocher,56,1
Frédérique Ribeiro,62,0
Charlotte Lenoir,89,1
Alain Vincent,0,0
Richard-Laurent Rivière,34,1
Xavier Monnier,29,1
Marguerite Raynaud,24,1
Laurent Marty,54,0
Mathilde Parent,28,1
Geneviève Petitjean,81,1
Guy Meunier Le Masse,26,1
Corinne Letellier-Laine,90,1
Adrienne Chevallier du Bonnet,80,1
Sébastien Carre,39,1
Robert Colin,38,1
Joseph du Colas,33,1
Zacharie Dupuy,26,1
Valentine Samson-Ferrand,21,1
Grégoire-Benoît Chartier,90,0
Michel Grenier,45,1
Bernard Moulin,44,1
Franck Bernard,65,1
Laurence Richard,55,1
Nathalie Aubry du Ferreira,8,0
Alexandrie-Odette Schneider,52,1
Benoît Evrard,23,1
Robert Bernard,69,1
André Marchand,81,0
Théophile Bernier de la Durand,51,1
Luce Chauveau,41,1
Juliette-Alexandria Delahaye,83,0
Georges du Besson,68,1
Roland-Rémy Lemonnier,78,0
Adélaïde Techer,15,0
Jérôme Gomez,8,0
Diane Merle,14,0
Mathilde Roux,2,0
Alain Julien,57,1
Arthur-Yves Besnard,39,1
Vincent-Étienne Berthelot,80,1
Pierre Devaux Le Foucher,20,1
Tristan Philippe,57,1
Thomas Gillet,11,0
Roland Sauvage,65,1
Catherine Sauvage,11,0
Denis Techer-Lacroix,18,0
Émile Marques Le Pinto,18,0
Charles Grondin-Henry,43,1
Frédérique-Éléonore Valentin,10,0
Rémy Arnaud,27,1
Marguerite Hoarau,24,1
Corinne Valette,46,1
Alphonse Dubois,89,1
Antoine Bourdon,41,1
Denis Hardy,2,0
Alphonse Pereira-Picard,65,1
Lucas Legendre,9,0
Michèle-Charlotte Picard,8,0
René Weiss,79,0
Emmanuelle Lejeune de la Martinez,59,0
Michèle Mercier-Munoz,56,1
Paul Auger,14,0
Émile Gallet,13,0
Éric Sanchez,58,1
Noël Peron,8,0
Thibault Navarro,52,1
Jeannine-Margot Lopes,3,0
Philippine Guyot,62,0
Odette Meyer,75,1
Marie Gaillard,92,0
Tristan Boulay de la Fischer,80,1
Thierry Gaudin,50,1
Robert Gilbert,71,0
Hélène Allain,16,0
Yves Pineau,14,0
Marc Diaz Le Guyon,0,0
Joseph Arnaud-Mercier,24,0
Matthieu Garcia,14,0
Célina Courtois,55,0
Étienne de la Jean,19,0
Martine Roche,62,1
Grégoire Besson,87,0
Brigitte du Rivière,4,0
Émile Peron de la Gautier,90,0
Gilles Adam Le Barre,2,0
Frédéric Martel,71,1
Édith Rolland,29,1
Martin Roussel,5,0
Anne Rivière,63,0
Margot Legros,48,1
Alexandre de la Baron,18,0
Caroline-Lucie Vaillant,86,1
Sophie Chauveau,67,1
Arnaude de Jean,11,0
Sophie Fernandes,52,0
Alfred Picard,33,0
Jean-Martin Clerc,70,1
Alexandria Dupuy,62,1
Alphonse-François Garnier,10,0
Aimé Gautier,72,1
Richard-Augustin Foucher,79,1
Emmanuel Foucher,45,1
Philippe Girard de la Rousset,87,0
Hugues Garcia,75,1
Matthieu Huet,61,1
Roland-Victor Fernandes,92,1
Brigitte du Hamon,49,1
Margaret Daniel de la Lacombe,10,0
Henriette Delahaye-Bruneau,55,0
Cécile Julien,87,1
Thérèse Fournier,2,0
Marcel Raynaud,90,1
Marc de la Da Costa,27,1
Éléonore Dupont,40,1
Anaïs Mathieu,74,1
Manon Alexandre,18,0
Anne Roger de la Besson,44,1
Marc Godard,35,1
Geneviève Louis,58,1
Richard Delmas,10,0
Julien de Allain,40,1
Timothée du Lefort,62,1
Joséphine Courtois,22,1
Thierry Chauvet-Bertin,53,1
Émile Muller-Pelletier,37,1
Étienne-Guy Charpentier,2,0
Émile Coste,89,1
Odette Lenoir,62,1
Hélène Garcia,13,0
Augustin Delorme,4,0
Nicolas Roussel,55,1
Valérie Raymond,9,0
Lucy Gauthier,7,0
Éric Guillon,70,0
Frédérique-Élisabeth Schneider,48,1
Célina Le Gay,21,1
Bernard Bouvier,84,1
Camille Guillaume,54,1
Thibault Chrétien,67,1
