Name,Gender,Address,E-mail,Date-of-birth,Phone-number,Job
Zoé-Anne Joly,Féminin,"OUEME,ADJOHOUN,KODE,KODE - AKPO carré 7561",none,2009-07-24,none,none
Charlotte-Aurélie Mace,Féminin,"BORGOU,BEMBEREKE,INA,GUESSOU-BANM TAKA carré 1012",none,2018-02-20,none,none
Charlotte Lemaître,Féminin,"BORGOU,PARAKOU,1ER ARRONDISSEMENT,ALBARIKA carré 8672",charlottelemaître@gmail.com,1940-09-14,+22964002339,économe de flux
Denis Leblanc,Masculin,"BORGOU,NIKKI,OUENOU,GOSSODJI-GOURE BAABA carré 5369",none,2012-04-18,none,none
Joséphine de Pineau,Féminin,"MONO,HOUEYOGBE,DOUTOU,ADJAME carré 3663",joséphinedepineau@gmail.com,1963-11-08,+22969543428,chargé des relations publiques
Claire Vasseur-Bertrand,Féminin,"MONO,ATHIEME,ATHIEME,AWAKOU carré 6573",clairevasseur-bertrand@gmail.com,1933-11-14,+22964741022,juge des enfants
Joséphine Teixeira,Féminin,"PLATEAU,POBE,AHOYEYE,ISSALE-IBERE carré 0361",joséphineteixeira@gmail.com,2003-10-29,+22995834682,attaché de recherche clinique (ARC)
Emmanuelle Weber,Féminin,"ATLANTIQUE,ABOMEY-CALAVI,GODOMEY,GBODJE-WOMEY carré 1347",none,2014-12-02,none,none
Renée Lefèvre Le Imbert,Féminin,"LITTORAL,COTONOU,6EME ARRONDISSEMENT,AHOUANSORI LADJI carré 8610",none,2008-04-19,none,none
Honoré Huet du Roger,Masculin,"BORGOU,TCHAOUROU,TCHAOUROU,BORONIN carré 9307",honoréhuetduroger@gmail.com,1997-09-12,+22959885354,éducateur de la protection judiciaire de la jeunesse (PJJ)
Matthieu Prévost,Féminin,"PLATEAU,ADJA-OUERE,ADJA-OUERE,IGBA carré 8570",matthieuprévost@gmail.com,1941-08-21,+22964824822,maçon
Aurélie-Odette Deschamps,Féminin,"MONO,BOPA,YEGODOE,TEKOZOUIN carré 0488",aurélie-odettedeschamps@gmail.com,1932-11-26,+22995473552,technicien packaging
Hélène Boutin,Féminin,"BORGOU,PARAKOU,1ER ARRONDISSEMENT,OUEZE carré 9783",hélèneboutin@gmail.com,1965-08-21,+22966654875,concepteur designer packaging
André Lambert,Masculin,"COLLINES,GLAZOUE,AKLAMPA,ALLAWENONSA carré 3135",andrélambert@gmail.com,1985-08-10,+22995902668,façonnier des industries graphiques
Gilles Moulin,Masculin,"COUFFO,APLAHOUE,GODOHOU,GODOHOU carré 1351",gillesmoulin@gmail.com,1938-08-01,+22964118360,technicien de l'intervention sociale et familiale
Gabriel Da Silva,Masculin,"COLLINES,OUESSE,GBANLIN,WOKPA carré 2530",gabrieldasilva@gmail.com,1945-01-12,+22995548102,technicien de maintenance industrielle
Patrick Guichard-Rocher,Masculin,"ATACORA,MATERI,MATERI,NAGASSEGA-KANI carré 5022",patrickguichard-rocher@gmail.com,1976-11-04,+22995769474,élagueur
Clémence Pelletier,Féminin,"ZOU,DJIDJA,OUMBEGAME,LOTCHO-DAHO carré 9746",clémencepelletier@gmail.com,1962-03-21,+22964629378,dessinateur de BD
Paulette Muller,Féminin,"OUEME,AVRANKOU,ATCHOUKPA,ZOUNGUE carré 0192",none,2004-03-15,none,none
Valérie Guilbert de la Foucher,Féminin,"BORGOU,TCHAOUROU,TCHAOUROU,GAH-KPENOU carré 8214",valérieguilbertdelafoucher@gmail.com,1939-06-07,+22953913016,juge des contentieux de la protection
Guy Legendre,Masculin,"BORGOU,SINENDE,SINENDE,KOSSIA carré 8280",guylegendre@gmail.com,1995-04-25,+22950808648,greffier
Nathalie Martinez,Féminin,"LITTORAL,COTONOU,10EME ARRONDISSEMENT,SETOVI carré 2030",nathaliemartinez@gmail.com,1964-01-31,+22964038717,responsable de laboratoire de contrôle en biologie
Jérôme Olivier,Féminin,"ALIBORI,MALANVILLE,MALANVILLE,GALIEL carré 7492",jérômeolivier@gmail.com,2002-12-26,+22964595381,responsable du soutien logistique intégré
Andrée Mallet,Féminin,"ZOU,ZA-KPOTA,KPOZOUN,DOTAN carré 6750",andréemallet@gmail.com,1956-03-29,+22995377531,costumier
Georges Pasquier Le Rémy,Masculin,"PLATEAU,POBE,POBE,MAMAGUE carré 1711",georgespasquierlerémy@gmail.com,1977-05-30,+22964668549,ingénieur combustion et brûleurs
Franck Gonzalez,Masculin,"ALIBORI,KANDI,KANDI 2,BANIGOUROU carré 4600",franckgonzalez@gmail.com,1953-12-30,+22995515383,conducteur de travaux  agricoles
Frédéric du Fournier,Masculin,"ATLANTIQUE,KPOMASSE,AGBANTO,AGBANTO-MAGA carré 0601",frédéricdufournier@gmail.com,1951-03-07,+22995519816,guichetier
Timothée Henry,Féminin,"COUFFO,APLAHOUE,ATOMEY,DOUSSO carré 3151",timothéehenry@gmail.com,1995-03-20,+22964593866,peintre en bâtiment
Grégoire Andre,Féminin,"ZOU,ZA-KPOTA,KPAKPAME,DRAME carré 2995",grégoireandre@gmail.com,1994-11-25,+22962334982,cadreur
Olivier Deschamps,Masculin,"PLATEAU,KETOU,OKPOMETA,OMOU carré 8069",olivierdeschamps@gmail.com,1975-02-21,+22996995772,gendarme
Madeleine-Audrey Lefèvre,Masculin,"ATACORA,MATERI,DASSARI,DASSARI carré 8982",madeleine-audreylefèvre@gmail.com,1943-04-23,+22995825084,céramiste
Andrée-Luce Rocher,Féminin,"LITTORAL,COTONOU,13EME ARRONDISSEMENT,AHOGBOHOUE CITE EUCHARISTIE carré 1396",none,2019-11-12,none,none
Laurence-Nathalie Weber,Féminin,"MONO,ATHIEME,KPINNOU,KODJI KPONOU carré 5399",laurence-nathalieweber@gmail.com,1948-10-06,+22991816033,juriste droit de l'environnement
Henri-Emmanuel Grondin,Masculin,"DONGA,BASSILA,ALEDJO,ALEDJO carré 9128",henri-emmanuelgrondin@gmail.com,1939-12-16,+22964397047,chargé de pharmacovigilance
Arnaude Joly,Féminin,"BORGOU,KALALE,KALALE,KIDAROUKPEROU carré 7417",arnaudejoly@gmail.com,1939-04-06,+22995727232,ingénieur procédés en chimie
Yves Peron,Masculin,"OUEME,PORTO-NOVO,3EME ARRONDISSEMENT,AVAKPA-TOKPA carré 3938",none,2011-01-31,none,none
Tristan Coste,Masculin,"ZOU,COVE,NAOGON,HOUEYIHO carré 6004",tristancoste@gmail.com,1967-09-11,+22997992846,modéliste
Stéphanie Deschamps de la Dupré,Féminin,"BORGOU,KALALE,DERASSI,GUIRI-GANDO carré 0641",stéphaniedeschampsdeladupré@gmail.com,1935-09-17,+22952200847,opérateur sur machine à commande numérique
Nicolas Maury,Masculin,"ZOU,ZA-KPOTA,KPAKPAME,DAVEGO carré 5041",nicolasmaury@gmail.com,1980-05-30,+22962489167,responsable de site de traitement des déchets
Margot Besnard-Samson,Masculin,"ZOU,ZAGNANADO,ZAGNANADO CENTRE,DOGA-AGA carré 5398",margotbesnard-samson@gmail.com,1948-01-22,+22951566332,hôte d'accueil
Grégoire Petit,Féminin,"LITTORAL,COTONOU,3EME ARRONDISSEMENT,AGBATO carré 2723",grégoirepetit@gmail.com,1954-06-25,+22995408104,réceptionniste
Guy de la Alves,Masculin,"ATLANTIQUE,TOFFO,COLLI,BOSSOUVI carré 4433",guydelaalves@gmail.com,1947-11-25,+22964044847,attaché de recherche clinique (ARC)
Madeleine-Lorraine Simon,Féminin,"OUEME,ADJARRA,HONVIE,DJEVIE -WADON carré 1460",madeleine-lorrainesimon@gmail.com,1995-08-04,+22957561030,sportif de haut niveau
Noël-Patrick Evrard,Masculin,"LITTORAL,COTONOU,6EME ARRONDISSEMENT,AIDJEDO AHITO carré 4509",noël-patrickevrard@gmail.com,1962-10-02,+22964289624,courtier
Susan Turpin de la Bourdon,Masculin,"ALIBORI,SEGBANA,LIBOUSSOU,LIBOUSSOU carré 7055",susanturpindelabourdon@gmail.com,1954-07-29,+22961863751,sous-officier de l'armée de terre
Clémence Boulanger-Poirier,Féminin,"BORGOU,BEMBEREKE,GAMIA,GUESSOU-NORD carré 8204",clémenceboulanger-poirier@gmail.com,1978-04-08,+22964861960,responsable de laboratoire de contrôle en biologie
Michelle Guillon-Hamon,Féminin,"ATLANTIQUE,OUIDAH,PAHOU,PAHOU CENTRE carré 0448",michelleguillon-hamon@gmail.com,1989-12-27,+22964066779,technicien radioprotection
Martine Potier,Féminin,"ATLANTIQUE,ALLADA,LISSEGAZOUN,AOTA carré 7066",martinepotier@gmail.com,1972-04-03,+22995804345,ingénieur forage
Brigitte Diaz,Féminin,"ATLANTIQUE,KPOMASSE,DEDOME,TELOKOE-AHOUYA carré 1034",brigittediaz@gmail.com,1940-03-21,+22969213224,toiletteur d'animaux
Henri Moreno,Féminin,"BORGOU,KALALE,KALALE,KALALE-ZINA carré 3787",henrimoreno@gmail.com,1930-03-06,+22995167411,décorateur
Hugues Lefèvre,Masculin,"ALIBORI,GOGOUNOU,WARA,DOUGOU carré 9818",none,2019-03-19,none,none
Maggie Lecoq-Bourgeois,Féminin,"PLATEAU,IFANGNI,LAGBE,ZIAN carré 1865",none,2022-11-19,none,none
Roland Ramos,Masculin,"ZOU,DJIDJA,SETTO,GBADAGBA carré 8225",rolandramos@gmail.com,1994-07-04,+22996551029,technicien de forge
Bernard Didier,Masculin,"COLLINES,DASSA-ZOUME,KPINGNI,VEDJI carré 2538",none,2016-08-16,none,none
Brigitte Muller du Lecomte,Féminin,"BORGOU,TCHAOUROU,KIKA,KPASSA carré 6152",brigittemullerdulecomte@gmail.com,1933-05-18,+22964257932,assistant de service social
Honoré Laine,Masculin,"ALIBORI,MALANVILLE,GUENE,BOÏFFO carré 3267",none,2004-02-04,none,none
Lorraine Hardy,Féminin,"COLLINES,SAVE,KABOUA,MONTEWO carré 1799",lorrainehardy@gmail.com,1959-02-04,+22995547712,développeur informatique
