relative_to,sender,receiver,operator,type,date,amount
Suzanne-Nathalie Bouvet,,,moov,CASH_IN,2022-01-01,191000
Suzanne-Nathalie Bouvet,,,moov,CASH_OUT,2022-01-24,214700
Agathe Masse,Agathe Masse,Frédéric Charles de la Pineau,moov,TRANSFER,2022-01-17,268100
Frédéric Charles de la Pineau,Agathe Masse,Frédéric Charles de la Pineau,moov,RECEIPT,2022-01-17,268100
Agathe Masse,,,moov,CASH_OUT,2022-01-18,290600
Agathe Masse,Agathe Masse,Sylvie Baron,moov,TRANSFER,2022-01-21,43200
Sylvie Baron,Agathe Masse,Sylvie Baron,moov,RECEIPT,2022-01-21,43200
Charles Barthelemy du Valentin,,,moov,CASH_IN,2022-01-04,274400
Charles Barthelemy du Valentin,Christelle Riou,Charles Barthelemy du Valentin,moov,RECEIPT,2022-01-23,128800
Christelle Riou,Christelle Riou,Charles Barthelemy du Valentin,moov,TRANSFER,2022-01-23,128800
Charles Barthelemy du Valentin,Sébastien de la Chauvin,Charles Barthelemy du Valentin,moov,RECEIPT,2022-01-24,175100
Sébastien de la Chauvin,Sébastien de la Chauvin,Charles Barthelemy du Valentin,moov,TRANSFER,2022-01-24,175100
Thibault du Dupont,,,moov,CASH_OUT,2022-01-20,60600
Thibault du Dupont,,,moov,CASH_OUT,2022-01-27,212900
Mathilde Moreno,,,moov,CASH_IN,2022-01-16,390100
Anaïs Le Nguyen,,,moov,CASH_IN,2022-01-20,268000
Capucine Didier,Capucine Didier,Frédéric Marie de Lambert,moov,TRANSFER,2022-01-01,239700
Frédéric Marie de Lambert,Capucine Didier,Frédéric Marie de Lambert,moov,RECEIPT,2022-01-01,239700
Capucine Didier,Capucine Didier,Virginie Bonnin,moov,TRANSFER,2022-01-20,83800
Virginie Bonnin,Capucine Didier,Virginie Bonnin,moov,RECEIPT,2022-01-20,83800
Isaac Hamon,Isaac Hamon,Victor-David Faure,moov,TRANSFER,2022-01-04,473000
Victor-David Faure,Isaac Hamon,Victor-David Faure,moov,RECEIPT,2022-01-04,473000
Isaac Hamon,Isaac Hamon,Grégoire Philippe,moov,TRANSFER,2022-01-11,96700
Grégoire Philippe,Isaac Hamon,Grégoire Philippe,moov,RECEIPT,2022-01-11,96700
Isaac Hamon,,,moov,CASH_OUT,2022-01-14,164700
Isaac Hamon,Geneviève Pages,Isaac Hamon,moov,RECEIPT,2022-01-15,137500
Geneviève Pages,Geneviève Pages,Isaac Hamon,moov,TRANSFER,2022-01-15,137500
Isaac Hamon,,,moov,CASH_IN,2022-01-27,48500
Jules Thibault,Théodore Mathieu de la Duval,Jules Thibault,moov,RECEIPT,2022-01-22,19700
Théodore Mathieu de la Duval,Théodore Mathieu de la Duval,Jules Thibault,moov,TRANSFER,2022-01-22,19700
Matthieu Letellier,Matthieu Letellier,Grégoire Philippe,moov,TRANSFER,2022-01-01,238200
Grégoire Philippe,Matthieu Letellier,Grégoire Philippe,moov,RECEIPT,2022-01-01,238200
Matthieu Letellier,Matthieu Letellier,Sylvie Baron,moov,TRANSFER,2022-01-13,215500
Sylvie Baron,Matthieu Letellier,Sylvie Baron,moov,RECEIPT,2022-01-13,215500
Matthieu Letellier,Matthieu Letellier,André Fleury-Bourgeois,moov,TRANSFER,2022-01-19,80300
André Fleury-Bourgeois,Matthieu Letellier,André Fleury-Bourgeois,moov,RECEIPT,2022-01-19,80300
Rémy Bonneau,,,moov,CASH_OUT,2022-01-01,195500
Rémy Bonneau,,,moov,CASH_IN,2022-01-07,398900
Rémy Bonneau,,,moov,CASH_IN,2022-01-09,37300
Rémy Bonneau,Rémy Bonneau,Corinne Fabre,moov,TRANSFER,2022-01-13,135900
Corinne Fabre,Rémy Bonneau,Corinne Fabre,moov,RECEIPT,2022-01-13,135900
Rémy Bonneau,Rémy Bonneau,Michelle Paris,moov,TRANSFER,2022-01-27,188600
Michelle Paris,Rémy Bonneau,Michelle Paris,moov,RECEIPT,2022-01-27,188600
Sébastien Perrier-Rolland,,,moov,CASH_IN,2022-01-01,139500
Sébastien Perrier-Rolland,Sébastien Perrier-Rolland,Édith Brunet-Le Roux,moov,TRANSFER,2022-01-02,74500
Édith Brunet-Le Roux,Sébastien Perrier-Rolland,Édith Brunet-Le Roux,moov,RECEIPT,2022-01-02,74500
Sébastien Perrier-Rolland,,,moov,CASH_IN,2022-01-03,254000
Sébastien Perrier-Rolland,,,moov,CASH_IN,2022-01-13,34400
Sébastien Perrier-Rolland,,,moov,CASH_OUT,2022-01-24,309600
Étienne-Laurent Marty,Madeleine Colas,Étienne-Laurent Marty,moov,RECEIPT,2022-01-13,386700
Madeleine Colas,Madeleine Colas,Étienne-Laurent Marty,moov,TRANSFER,2022-01-13,386700
Étienne-Laurent Marty,,,moov,CASH_OUT,2022-01-21,125600
