relative_to,sender,receiver,operator,type,date,amount
Hugues-Victor Dupuy,Antoinette Hernandez,Hugues-Victor Dupuy,mtn,RECEIPT,2022-01-04,346900
Antoinette Hernandez,Antoinette Hernandez,Hugues-Victor Dupuy,mtn,TRANSFER,2022-01-04,346900
Hugues-Victor Dupuy,Hugues-Victor Dupuy,François Lemaître,mtn,TRANSFER,2022-01-25,447700
François Lemaître,Hugues-Victor Dupuy,François Lemaître,mtn,RECEIPT,2022-01-25,447700
Gérard Verdier-Allain,Arnaude Hernandez-Perret,Gérard Verdier-Allain,mtn,RECEIPT,2022-01-19,94600
Arnaude Hernandez-Perret,Arnaude Hernandez-Perret,Gérard Verdier-Allain,mtn,TRANSFER,2022-01-19,94600
Édith Marie de la Legros,Édith Marie de la Legros,Caroline Lejeune de la Bonnet,mtn,TRANSFER,2022-01-08,197200
Caroline Lejeune de la Bonnet,Édith Marie de la Legros,Caroline Lejeune de la Bonnet,mtn,RECEIPT,2022-01-08,197200
François Lemaître,Arthur Lemaître,François Lemaître,mtn,RECEIPT,2022-01-03,4700
Arthur Lemaître,Arthur Lemaître,François Lemaître,mtn,TRANSFER,2022-01-03,4700
François Lemaître,,,mtn,CASH_OUT,2022-01-26,306800
Honoré Klein,,,mtn,CASH_OUT,2022-01-05,394600
Honoré Klein,Raymond Lévy,Honoré Klein,mtn,RECEIPT,2022-01-11,101000
Raymond Lévy,Raymond Lévy,Honoré Klein,mtn,TRANSFER,2022-01-11,101000
Honoré Klein,,,mtn,CASH_OUT,2022-01-27,478100
Guy Legendre,,,mtn,CASH_IN,2022-01-01,317000
Guy Legendre,Guy Legendre,Joséphine Legrand,mtn,TRANSFER,2022-01-08,338000
Joséphine Legrand,Guy Legendre,Joséphine Legrand,mtn,RECEIPT,2022-01-08,338000
Guy Legendre,,,mtn,CASH_OUT,2022-01-26,103800
Augustin Dumont,Augustin Dumont,Henriette Mallet Le Rodriguez,mtn,TRANSFER,2022-01-03,243800
Henriette Mallet Le Rodriguez,Augustin Dumont,Henriette Mallet Le Rodriguez,mtn,RECEIPT,2022-01-03,243800
Augustin Dumont,,,mtn,CASH_OUT,2022-01-15,441500
Augustin Dumont,Augustin Dumont,Roland-Rémy Lemonnier,mtn,TRANSFER,2022-01-21,30700
Roland-Rémy Lemonnier,Augustin Dumont,Roland-Rémy Lemonnier,mtn,RECEIPT,2022-01-21,30700
Augustin Dumont,,,mtn,CASH_IN,2022-01-26,345800
Valentine Lelièvre,Anouk Camus,Valentine Lelièvre,mtn,RECEIPT,2022-01-01,113200
